T,mortality
10.5,0.07
10.75,0.09
15.3125,0.04
16.5,0.03
20,0.04
21.8125,0.04
25.625,0.03
27.5,0.03
31.25,0.04
31.625,0.03
32.4375,0.04
33.375,0.05
41,0.99
41,1.00
41.9375,1.00
42.875,1.00
43.8125,1.00
45.0625,1.00
45.9375,1.00
46.875,1.00
38.9375,0.00
39.9375,0.00
41,0.00
41.9375,0.00
43.875,0.00
44.9375,0.00
