T,lifespan
10.88,12.14
14.97,27.70
17.01,30.74
18.03,19.96
20.00,23.66
22.04,26.46
26.12,34.20
28.03,23.50
31.02,22.76
32.18,17.65
33.13,21.19
34.01,12.22
