T,egg_to_adult_survival
9.0,0
10.0,0
10.9,0
12.0,0
13.0,0
15.0,0.13886793
20.0,0.7245283
22.0,0.90867925
25.0,0.8181132
26.9,0.92075473
30.0,0.87245286
31.9,0.82113206
35.1,0.67018867
34.1,0.5916981
36.0,0.003018868
38.1,0.003018868
40.1,0
