T,EIP
12.99,0.04
20.03,0.03
21.05,0.04
23.02,0.09
24.04,0.10
26.07,0.09
27.02,0.08
29.01,0.20
30.00,0.10
31.10,0.17
32.11,0.15
34.02,0.20
35.03,0.18
36.05,0.20
